Quartier,Latitude,Longitude
ange raphael,4.0225624,9.7017512
godi bokocie,,
cite sic,4.0539142,9.7307181
bonadibong,,
ndogpass 3,,
edea,4.013117141655115,9.709117994699263
yatika,3.9773917,9.7947326
nkolbon,,
entree chinoise,,
cite des palmiers,4.0542657,9.7640556
nyalla pariazo,,
besseke bonaberi,4.07089955,9.684146278302375
tradex village,,
makepe missoke,,
manjo,4.84455145,9.821909642444568
boko village,,
bp cité,4.047342,9.728418
nyala,,
carrefour bonabassem,4.0710983,9.7187862
douala-zone de reeassement,,
douala 812.12,4.0429389,9.7062018
douala ndopassiz,,
bakie ndagpassi,,
 cité sic,4.0539142,9.7307181
dongbang,,
total nkolobong,,
west,4.0872167,9.3110709
combi,3.9962276,9.7686617
nkoulouloun,,
brazaville,,
billongue,,
bonadiwoto,4.0161627,9.7217454
nkomodo,,
nglon,,
cite de palmier,,
ancien abatoire,,
pk11 bassa,4.0377268,9.74092225
pk12 emmene cite,,
ngodi,3.9852675,9.7888708
logbaba plateau,,
pk11 mbengue city,,
globo,,
pk12 mandjab,,
ndogpassi3,,
pas precisé,,
douala ndogpassi,4.003077513585083,9.757943678224379
douala nyalla,,
bonamousadi,,
douala newbell,,
nkouabang,,
nylon,4.0282399,9.7307532
pk 10,4.04220425,9.74667936024226
ndopassi,,
new ton aeroport,,
ndogbassi,,
nyalla kambo 2,4.0328835,9.7887296
pk16 nsape,,
ambiance,4.0623683,9.7298948
nkong-mondo,,
dibom iii,4.0140715,9.747720873872787
citee des palmiers,,
mbango,,
total nkolmbon,,
pk30,4.0429389,9.7062018
ange raphaël ,4.0225624,9.7017512
pk 25,4.04220425,9.74667936024226
bona priso goupwe,,
mballa 2,,
ndogpassi village,,
tradex bonne dix,,
pas mentionné,,
youpwe,4.0105092,9.699614
bdogpassi,,
village marche,,
nyalla pays bas,,
dogpassi,,
bonendale,4.1164184,9.6544209
ndogpassi 1,4.0100854,9.7566698
 ndogpassi 3,3.9987391,9.7647887
village entrée lycée,,
village entrée bille,,
bonandjo,,
ndokpassi,,
boko plage,,
akwa-nord,4.0767237,9.718644468336116
pk13 bassa,4.0481713,9.7520627
boko-plage,,
kotto- chefferie,4.09503615,9.756771010687453
akoua,,
ndobassi,,
ndogssimbi,,
ndogpassi ii,4.0192137,9.7599154
cité cic,,
nkong mondo,,
songogan bloc 11,,
bobojn,,
dogbassi,,
douala oyack,,
logbaba saint thomas,,
nkomondo,,
nono plage,,
ndogpassiii,,
ndogbon,,
ange raphaël,4.0225624,9.7017512
bonateki,4.0703304,9.7175548
yatchika,3.9846727,9.8038354
japouma,,
bonaberie ,4.0791112500736615,9.65951856344657
ndogpassi marché,4.0038503500000004,9.757327670625886
ancien 3ieme,4.0406492,9.7012202
hôpital général,4.03999095,9.684760464819284
bonapriso 2,4.0256151,9.6930153
bependa casmando,,
borne,,
essengue,,
douala-douala,4.0429389,9.7062018
ngodi- akwa,4.04808915,9.707157446139915
makepe misoke ,,
batie,5.30063455,10.304732245556885
bomono ba mbengue,,
village marché,,
terminus,,
new priso,4.03093385,9.69391116544801
newbell ,,
bwang bakoko,3.9643991,9.80057795615775
déido,4.0637626,9.7151827
ngodi- bakoko,3.98577,9.785696
ngodi bonomo,,
entree bille,,
ipd,4.0418621,9.732285367365492
bonandale,,
tradex borne 10,,
bonabeerie,,
kambo boko,,
regeneration,3.9953863,9.7725021
boko cogefar,,
soubom,,
mbassong,,
bepanda omnisport,4.0585698,9.7229354
soboum,,
mbangue,4.104894,9.7499488
biyemassi,,
makafo,,
ndogpassi iii,4.0100854,9.7566698
mbanga bakoko,4.0070341,9.7992035
ndogpassi i ,4.0100854,9.7566698
cite de cille,,
ndobong,,
ndopassi 3,,
meiganga,,
ndogbong citadelle,,
entrée chinois,,
anhe rafael,,
bangue,4.1056394,9.7528416
elf,4.0118142,9.7322941
jardin ndogmbe,,
pihidibamba,,
song mahop,,
songmahop,,
yassa tika,,
ndokotti ccc,,
logbesou,4.0920354,9.803592970684669
bonambappe,4.0738794,9.6760028
village cite de bille,,
bonamikano,4.0811422,9.677141903968021
kotto ,4.064061462871038,9.710128275940628
genie militaire,4.0463793500000005,9.78369894435924
bakoko,3.98577,9.785696
bahan,,
village cogefar,,
cite berge,3.997321,9.7471531
mbangopongo,,
shele village,,
bonadoumbe,4.0230872,9.6988735
ndogsibi,,
nyala château,,
bonakouamouang,,
harry,,
bepanda omnisports,,
tergale,,
harry yassa,,
entree billes,,
pk10 ,4.049684450000001,9.773645117417459
pas précisé ,,
tombel,4.7209463,9.7224121
ndog passi 3,4.0048605,9.7549902
r .a.s,4.0105612,9.7486717
 bonamoussadi ,4.094354,9.7393663
r a s,4.0105612,9.7486717
pk 13 ,4.0429389,9.7062018
ari village ,,
ndokoti ,4.0434344,9.7436776
ras,,
 r a s ,4.0102291,9.7485711
limbe,4.03925935,9.207456715062818
oyack ,4.02209795,9.746330762181058
douala newtown  aéroport ,,
cite des palmiers ,4.0542657,9.7640556
dogbassi 3,,
congo,4.0373892,9.7053201
r a s ,4.0102291,9.7485711
binamoussadi,,
diboum 3,4.0114883500000005,9.748434346640195
ngodi bakogo,,
édea,4.010413674132765,9.735749887565493
edea ,4.010413674132765,9.735749887565493
makèpè,4.0638116,9.7409587
edéa ,4.010413674132765,9.735749887565493
 r a s,4.0102291,9.7485711
madasgascar,,
villoage marche,,
bp8232,,
rond point ccc,,
tradex kotto,,
ndogbom,,
nialla,,
bonamodoro diedo,,
congefar,,
ngalla,,
ange raphael campus 2,,
bonateki deido,4.0703304,9.7175548
sable bonamoussadi,,
cite de bille ,,
ras ,,
ndobassi 2,,
bonapriso rue koloko,,
souboun,,
nyassa,,
ndogpossi,,
 bonaorisso,,
newton  airport,,
texaco aeroport,,
cite des pakmiers,,
