Quartier,Latitude,Longitude
bdogpassi,,
tombel,4.7209463,9.7224121
pk9 ,4.0429389,9.7062018
kribi,4.0259915,9.69191172434066
bonadouma-bonapriso,4.0289696,9.6983542
villoage marche,,
makafo,,
ndokoti,4.0434344,9.7436776
kotto immeuble,,
nkol mbong,,
edea ,4.013117141655115,9.709117994699263
village cite de bille,,
regeneration,3.9953863,9.7725021
newton  airport,,
logbaba plateau,,
ndogbon,,
citee des palmiers,,
r a s,,
bilongue,4.015023,9.7394305
madagascar,4.033651,9.7360237
parisot nyalla,,
nkomondo,,
douala nyalla,,
village entrée lycée,,
pk9,4.0429389,9.7062018
newton aéroport,,
beedi,4.0611714,9.7662924
logbaba jardin,,
bonadiwoto,4.0161627,9.7217454
makepe misoke ,,
bepanda,4.0565417,9.7227206
soubom,,
axe lourd bependa,,
jardin logbaba,,
yassa,3.9913253,9.8103803
globo,,
ndogpassi,4.0100854,9.7566698
douala ccc,,
youpwe,4.0105092,9.699614
ndogbong,4.0644714,9.7521285
ndogpassi i ,4.0100854,9.7566698
soboum-dakar ,,
borne,,
ndogpassi 2,4.0100854,9.7566698
entree chinoise,,
dogbassi 3,,
ndogpassi i,4.0100854,9.7566698
mballa 2,,
bonamousadi ,,
bomono ba mbengue,,
nyalla haoussa,,
ndogbong ,4.0644714,9.7521285
terminus,,
bonamikano,4.0811422,9.677141903968021
douala oyack,,
song mahop,,
bonaberi entree cebec,,
bonabeerie,,
bependa tonnerre ,,
saint thomas,,
bonateki,4.0703304,9.7175548
 bonamoussadi ,4.094354,9.7393663
non précise ,,
bonapriso rue koloko,,
pk17,4.0429389,9.7062018
yassa tika,,
congefar,,
ange raphael,4.0225624,9.7017512
boko,3.9948221,9.7632311
combi,3.9962276,9.7686617
newton aéroport ,,
dogbassi,,
meiganga,,
bp8232,,
dibom iii,4.0140715,9.747720873872787
total aeroport,4.0155083,9.7267159
nyalla-kambo,4.0328835,9.7887296
ndobong,,
carrefour bonabassem,4.0710983,9.7187862
edea,4.013117141655115,9.709117994699263
nkong-mondo,,
ngangue,4.0207674,9.7068203
nyalla pariazo,,
nkoulouloun,,
bonaberi ndobo,4.0977803,9.648011993377997
ngodi bakogo,,
bonaberi sctm,,
she’ll-village,,
mbangopongo,,
oyack ,4.02209795,9.746330762181058
songmahop,,
ambiance,4.0623683,9.7298948
douala douala,4.0429389,9.7062018
terminus ucb,,
bonanjo,4.043024,9.6864962
ndokoti ,4.0434344,9.7436776
ndogsimbi,4.0404139,9.7311528
bali,4.0399946,9.6930482
essengue,,
mbango,,
quaryier espoir,,
souboun,,
borne 10 village ,,
 r a s ,4.0105612,9.7486717
bastos,,
cité belge,,
pk15 ,4.0429389,9.7062018
 ndogpassi 3,3.9987391,9.7647887
ras,,
déido,4.0637626,9.7151827
cité sic,4.0539142,9.7307181
nylon,4.0282399,9.7307532
kotto bonamoussadi,4.0917917500000005,9.749664700195243
bependa ,,
yaoundé,4.04373415,9.701196753966322
total nkolobong,,
ipd,4.0418621,9.732285367365492
nkonmondo,,
tergal,,
ndogpassi 1,4.0100854,9.7566698
nkonguondo,,
nyassa,,
nyalla chateau,,
non precise,,
ndog passi 3,4.0048605,9.7549902
nialla,,
ndog-passi,4.0048605,9.7549902
yatchika,3.9846727,9.8038354
genie militaire,4.0463793500000005,9.78369894435924
besengue ,,
boko-plage,,
nyalla japoma,4.03652185229366,9.761781251311751
pk18,4.0429389,9.7062018
new-bell /nkouloulou,,
pk 10,4.0429389,9.7062018
malangue,4.0684699,9.7613769
bonabéri (grand baobab),,
brassaville,,
boko plage,,
ngalla,,
brazaville,,
makepe,4.0638116,9.7409587
bependa casmando,,
brazzaville ,4.0233735,9.7292726
yatika,3.9773917,9.7947326
entrée chinois,,
pas mentionné,,
ndopassi 3,,
ndogbassi,,
village marche,,
boko village,,
nyalla ,4.0334103,9.7744243
ngodi bonomo,,
rue koloko bonapriso,4.028278202514286,9.702705877338525
ndobo ,4.1018152,9.6360158
biyemassi,,
cite de bille ,,
ndogsibi,,
douala,4.0429389,9.7062018
total nkolbong,,
bependa,,
pk30,4.0429389,9.7062018
yassa ,3.9913253,9.8103803
cite de palmier,,
newbell ,,
ndogpassi3,,
new ton aeroport,,
cite cicam,4.0521535,9.7377314
missole ii,,
pk20,3.9025495,11.2350664
dogpassi,,
douala ,4.0429389,9.7062018
pk8,4.0470063,9.7578107
pas precisé,,
ari ,,
she’ll village ,,
bois des singes,4.0080364,9.7079395
ndogbom,,
total nkolmbon,,
bwang bakoko,3.9643991,9.80057795615775
sable bonamoussadi,,
douala(non) précisé,,
nylon brazzaville,4.02085525,9.73643760402929
cite des palmiers,4.0542657,9.7640556
nyalla pays bas,,
cité cicam,4.0521535,9.7377314
pk11 bassa,4.141258290640136,9.571950561184783
pk14,4.0782914,9.793469679342078
rue foch,4.0571214,9.7005355
ari,,
cité de palmiers,4.05185745,9.761868659288753
nkolmesseng,,
brazzaville,4.0233735,9.7292726
logbaba,4.0328521,9.7603178
bepanda omnisport,4.0585698,9.7229354
sic cacao,4.0569862,9.7296056
ndokotti,,
douala-zone de reeassement,,
west,4.0872167,9.3110709
ngodi- akwa,4.04808915,9.707157446139915
pas précisé ,,
cité maetude ,,
nouvelle route cité sic,,
pk 11,4.0429389,9.7062018
bonabéri ,4.0822098,9.6649718
tradex borne 10,,
besseke bonaberi,4.07089955,9.684146278302375
pk 13 ,4.0429389,9.7062018
bonaberi ndoba,,
pk16,4.0429389,9.7062018
tradex kotto,,
ccc ,4.0352186,9.741403218023724
village entrée bille,,
